   FullName,location,price,timestamp
Lagos Linda,Brew've Been Served,11.48,1/8/2014 8:09
Forluniau Carla,Coffee Cameleon,16.17,1/8/2014 8:22
Mies Haber Ruscella,Abila Zacharo,22.13,1/8/2014 13:10
Lagos Linda,Gelatogalore,32.79,1/8/2014 13:27
Coginian Dante,Kalami Kafenion,22.49,1/8/2014 13:42
Pantanal Rachel,Abila Zacharo,28.25,1/8/2014 13:46
Forluniau Carla,Gelatogalore,22.27,1/8/2014 13:47
Awelon Varro,Kalami Kafenion,34.98,1/8/2014 14:15
Bramar Mat,Gelatogalore,39.94,1/8/2014 14:17
Arpa Emile,Kalami Kafenion,31.43,1/8/2014 14:19
Mies Haber Ruscella,Katerina’s Café,34.25,1/8/2014 19:32
Lagos Linda,Katerina’s Café,13.83,1/8/2014 20:00
Forluniau Carla,Frydos Autosupply n' More,214.07,1/8/2014 20:07
Ribera Anda,Frydos Autosupply n' More,268.89,1/8/2014 20:28
Coginian Dante,Katerina’s Café,16.93,1/8/2014 20:35
Awelon Varro,Coffee Shack,5.01,1/9/2014 12:00
Pantanal Rachel,Hallowed Grounds,15.33,1/9/2014 8:15
Mies Haber Ruscella,Gelatogalore,19.2,1/9/2014 13:12
Forluniau Carla,Hippokampos,27.47,1/9/2014 13:29
Lagos Linda,Gelatogalore,23.23,1/9/2014 13:35
Pantanal Rachel,Gelatogalore,24.68,1/9/2014 13:45
Bramar Mat,Kalami Kafenion,19.84,1/9/2014 13:56
Arpa Emile,Kalami Kafenion,10.94,1/9/2014 14:04
Ribera Anda,Kalami Kafenion,35.99,1/9/2014 14:03
Coginian Dante,Guy's Gyros,27.69,1/9/2014 14:09
Awelon Varro,Gelatogalore,36.75,1/9/2014 14:18
Arpa Emile,Katerina’s Café,35.92,1/9/2014 19:25
Bramar Mat,Katerina’s Café,26.6,1/9/2014 20:06
Coginian Dante,Katerina’s Café,29.82,1/9/2014 20:22
Awelon Varro,Albert's Fine Clothing,224.52,1/9/2014 20:21
Lais Cornelia,Guy's Gyros,8.23,1/9/2014 20:38
Pantanal Rachel,Shoppers' Delight,258.43,1/9/2014 21:13
Arpa Emile,Hallowed Grounds,16.75,1/10/2014 7:34
Pantanal Rachel,Hallowed Grounds,17.63,1/10/2014 7:46
Forluniau Carla,Coffee Cameleon,9.69,1/10/2014 7:54
Ribera Anda,Hallowed Grounds,9.34,1/10/2014 8:06
Lagos Linda,Brew've Been Served,14.36,1/10/2014 8:20
Forluniau Carla,Katerina’s Café,21.22,1/10/2014 13:38
Pantanal Rachel,Abila Zacharo,31.34,1/10/2014 13:46
Mies Haber Ruscella,Kalami Kafenion,27.48,1/10/2014 13:45
Lagos Linda,Guy's Gyros,38.15,1/10/2014 13:44
Lais Cornelia,Ouzeri Elian,24.74,1/10/2014 13:57
Arpa Emile,Guy's Gyros,16.34,1/10/2014 13:57
Ribera Anda,Abila Zacharo,9.32,1/10/2014 14:09
Coginian Dante,Gelatogalore,32.19,1/10/2014 14:11
Awelon Varro,Hippokampos,19.88,1/10/2014 19:56
Coginian Dante,Frydos Autosupply n' More,43.65,1/10/2014 20:02
Lagos Linda,Katerina’s Café,8.14,1/10/2014 20:09
Mies Haber Ruscella,Katerina’s Café,21.28,1/10/2014 20:42
Lais Cornelia,Guy's Gyros,25.81,1/10/2014 21:13
Forluniau Carla,Katerina’s Café,45.21,1/11/2014 13:23
Awelon Varro,Kalami Kafenion,35.66,1/11/2014 14:09
Forluniau Carla,Shoppers' Delight,238.52,1/11/2014 15:20
Arpa Emile,General Grocer,78.02,1/11/2014 15:31
Ribera Anda,Katerina’s Café,20.71,1/11/2014 19:32
Lais Cornelia,Guy's Gyros,36.2,1/11/2014 19:57
Bramar Mat,Katerina’s Café,25.76,1/11/2014 20:00
Coginian Dante,Katerina’s Café,52.45,1/11/2014 20:06
Arpa Emile,Frydos Autosupply n' More,236.25,1/11/2014 20:22
Awelon Varro,Hippokampos,69.8,1/11/2014 20:27
Forluniau Carla,Katerina’s Café,94.68,1/11/2014 20:24
Mies Haber Ruscella,Ouzeri Elian,98.45,1/12/2014 13:17
Awelon Varro,Hippokampos,29.2,1/12/2014 13:35
Arpa Emile,Guy's Gyros,30.47,1/12/2014 14:16
Awelon Varro,General Grocer,159.3,1/12/2014 15:46
Mies Haber Ruscella,Katerina’s Café,40.94,1/12/2014 19:43
Lais Cornelia,Frydos Autosupply n' More,88.93,1/12/2014 19:52
Arpa Emile,Katerina’s Café,39.3,1/12/2014 20:04
Lagos Linda,Katerina’s Café,16.34,1/12/2014 20:17
Bramar Mat,Katerina’s Café,40.25,1/12/2014 20:35
Coginian Dante,Frydos Autosupply n' More,161.96,1/12/2014 20:43
Bramar Mat,Brew've Been Served,9.53,1/13/2014 7:56
Ribera Anda,Hallowed Grounds,6.32,1/13/2014 7:57
Lagos Linda,Brew've Been Served,13.37,1/13/2014 8:00
Forluniau Carla,Coffee Cameleon,17.49,1/13/2014 7:55
Awelon Varro,Coffee Shack,4.09,1/13/2014 12:00
Coginian Dante,Brew've Been Served,19.89,1/13/2014 8:23
Forluniau Carla,Katerina’s Café,38.98,1/13/2014 13:23
Lagos Linda,Guy's Gyros,21.03,1/13/2014 13:51
Lais Cornelia,Kalami Kafenion,20.33,1/13/2014 13:55
Coginian Dante,Gelatogalore,36.24,1/13/2014 14:00
Awelon Varro,Guy's Gyros,38.07,1/13/2014 14:00
Bramar Mat,Hippokampos,26.96,1/13/2014 14:21
Arpa Emile,Frydos Autosupply n' More,188.57,1/13/2014 19:41
Lagos Linda,Frydos Autosupply n' More,64.6,1/13/2014 19:59
Pantanal Rachel,Ouzeri Elian,21.83,1/13/2014 20:43
Lais Cornelia,Guy's Gyros,19.77,1/13/2014 21:08
Awelon Varro,Hippokampos,32.29,1/13/2014 21:13
Forluniau Carla,Frydos Autosupply n' More,202.05,1/13/2014 21:11
Lais Cornelia,Brew've Been Served,14.67,1/14/2014 7:27
Arpa Emile,Hallowed Grounds,16.67,1/14/2014 7:44
Bramar Mat,Brew've Been Served,14.04,1/14/2014 7:45
Coginian Dante,Brew've Been Served,9.53,1/14/2014 7:53
Forluniau Carla,Coffee Cameleon,11.67,1/14/2014 7:52
Pantanal Rachel,Hallowed Grounds,10.65,1/14/2014 8:12
Mies Haber Ruscella,Brew've Been Served,16.39,1/14/2014 8:07
Awelon Varro,Coffee Shack,3.63,1/14/2014 12:00
Ribera Anda,Hallowed Grounds,6.16,1/14/2014 8:16
Lagos Linda,Brew've Been Served,11.53,1/14/2014 8:13
Lagos Linda,Abila Zacharo,31.09,1/14/2014 13:35
Mies Haber Ruscella,Kalami Kafenion,33.13,1/14/2014 13:40
Ribera Anda,Katerina’s Café,31.69,1/14/2014 13:43
Pantanal Rachel,Ouzeri Elian,33.67,1/14/2014 13:53
Bramar Mat,Kalami Kafenion,27.65,1/14/2014 13:50
Lais Cornelia,Gelatogalore,35.97,1/14/2014 13:57
Awelon Varro,Ouzeri Elian,19.7,1/14/2014 14:01
Coginian Dante,Hippokampos,16.73,1/14/2014 14:16
Lais Cornelia,Guy's Gyros,35.12,1/14/2014 20:17
Mies Haber Ruscella,Katerina’s Café,31.94,1/14/2014 20:19
Lagos Linda,Katerina’s Café,25.4,1/14/2014 20:50
Bramar Mat,Frydos Autosupply n' More,49.21,1/14/2014 21:28
Bramar Mat,Brew've Been Served,3.14,1/15/2014 7:58
Lais Cornelia,Brew've Been Served,8.42,1/15/2014 8:00
Lagos Linda,Brew've Been Served,5.75,1/15/2014 7:58
Pantanal Rachel,Hallowed Grounds,14.39,1/15/2014 8:13
Coginian Dante,Brew've Been Served,3.47,1/15/2014 8:06
Mies Haber Ruscella,Kalami Kafenion,38.5,1/15/2014 13:37
Lais Cornelia,Ouzeri Elian,25.7,1/15/2014 13:40
Lagos Linda,Kalami Kafenion,37.15,1/15/2014 13:36
Ribera Anda,Guy's Gyros,12.19,1/15/2014 13:45
Awelon Varro,Gelatogalore,24.96,1/15/2014 13:46
Arpa Emile,Ouzeri Elian,26.61,1/15/2014 13:51
Coginian Dante,Guy's Gyros,16.58,1/15/2014 13:46
Lagos Linda,Katerina’s Café,29.33,1/15/2014 20:17
Forluniau Carla,Katerina’s Café,29.66,1/15/2014 20:29
Awelon Varro,Albert's Fine Clothing,228.15,1/15/2014 20:46
Bramar Mat,Frydos Autosupply n' More,276.88,1/15/2014 20:57
Pantanal Rachel,Ouzeri Elian,8.57,1/15/2014 21:05
Arpa Emile,Hallowed Grounds,17.92,1/16/2014 7:45
Awelon Varro,Coffee Shack,10.48,1/16/2014 12:00
Ribera Anda,Hallowed Grounds,18.23,1/16/2014 8:07
Pantanal Rachel,Hallowed Grounds,4.6,1/16/2014 8:09
Lagos Linda,Brew've Been Served,11.21,1/16/2014 8:23
Mies Haber Ruscella,Katerina’s Café,39.74,1/16/2014 13:27
Ribera Anda,Hippokampos,13.05,1/16/2014 13:35
Bramar Mat,Abila Zacharo,24.38,1/16/2014 13:48
Lais Cornelia,Katerina’s Café,38.32,1/16/2014 13:43
Coginian Dante,Kalami Kafenion,9.27,1/16/2014 13:45
Forluniau Carla,Ouzeri Elian,8.52,1/16/2014 14:00
Awelon Varro,Ouzeri Elian,8.47,1/16/2014 14:01
Lais Cornelia,Octavio's Office Supplies,131.01,1/16/2014 15:58
Awelon Varro,Albert's Fine Clothing,283.38,1/16/2014 20:08
Arpa Emile,Katerina’s Café,18.79,1/16/2014 20:09
Pantanal Rachel,Ouzeri Elian,22.65,1/16/2014 20:25
Forluniau Carla,Katerina’s Café,35.43,1/16/2014 20:25
Coginian Dante,Katerina’s Café,30.56,1/16/2014 20:39
Bramar Mat,Frydos Autosupply n' More,130.01,1/16/2014 20:54
Lais Cornelia,Brew've Been Served,11.69,1/17/2014 7:36
Bramar Mat,Brew've Been Served,8.07,1/17/2014 7:50
Awelon Varro,Coffee Shack,19.16,1/17/2014 12:00
Ribera Anda,Hallowed Grounds,5.52,1/17/2014 7:59
Forluniau Carla,Coffee Cameleon,7.49,1/17/2014 8:07
Mies Haber Ruscella,Brew've Been Served,18.15,1/17/2014 8:12
Lagos Linda,Brew've Been Served,14.58,1/17/2014 8:19
Forluniau Carla,Hippokampos,38.21,1/17/2014 13:16
Pantanal Rachel,Gelatogalore,18.1,1/17/2014 13:47
Lagos Linda,Kalami Kafenion,24.21,1/17/2014 13:53
Coginian Dante,Guy's Gyros,15.12,1/17/2014 14:00
Awelon Varro,Guy's Gyros,21.1,1/17/2014 14:05
Arpa Emile,Ouzeri Elian,26.1,1/17/2014 14:32
Awelon Varro,Hippokampos,19.76,1/17/2014 19:40
Bramar Mat,Frydos Autosupply n' More,124.52,1/17/2014 19:57
Coginian Dante,Katerina’s Café,36.12,1/17/2014 20:19
Pantanal Rachel,Ouzeri Elian,26.4,1/17/2014 20:35
Mies Haber Ruscella,Katerina’s Café,33.73,1/17/2014 21:05
Lais Cornelia,Frydos Autosupply n' More,67.29,1/17/2014 21:15
Ribera Anda,Katerina’s Café,34.54,1/18/2014 13:15
Lais Cornelia,Kalami Kafenion,30.12,1/18/2014 13:19
Coginian Dante,Kalami Kafenion,42.73,1/18/2014 14:02
Lagos Linda,Katerina’s Café,37.26,1/18/2014 14:00
Lais Cornelia,Frydos Autosupply n' More,103.41,1/18/2014 15:31
Ribera Anda,Albert's Fine Clothing,189.52,1/18/2014 15:57
Mies Haber Ruscella,Frydos Autosupply n' More,234.53,1/18/2014 18:51
Lais Cornelia,Guy's Gyros,28.07,1/18/2014 19:21
Pantanal Rachel,Ouzeri Elian,14.9,1/18/2014 19:46
Forluniau Carla,Katerina’s Café,32.68,1/18/2014 19:56
Lagos Linda,Katerina’s Café,45.88,1/18/2014 20:04
Awelon Varro,Hippokampos,55.03,1/18/2014 20:26
Alcazar Lucas,Albert's Fine Clothing,276.9,1/6/2014 20:26
Alcazar Lucas,Hallowed Grounds,8.05,1/6/2014 7:55
Azada Lars,Bean There Done That,10.28,1/6/2014 12:00
Azada Lars,Guy's Gyros,15.44,1/6/2014 13:24
Azada Lars,Hippokampos,21.33,1/6/2014 20:46
Balas Felix,Bean There Done That,16.09,1/6/2014 12:00
Balas Felix,Guy's Gyros,30.82,1/6/2014 13:46
Barranco Ingrid,Abila Zacharo,30.08,1/6/2014 13:27
Barranco Ingrid,Brewed Awakenings,5.72,1/6/2014 12:00
Barranco Ingrid,Hippokampos,17.27,1/6/2014 20:52
Baza Isak,Jack's Magical Beans,11.03,1/6/2014 12:00
Baza Isak,Katerina’s Café,18.56,1/6/2014 13:46
Bergen Linnea,Gelatogalore,12.74,1/6/2014 13:19
Bergen Linnea,Katerina’s Café,23.63,1/6/2014 20:07
Bodrogi Loreto,Brew've Been Served,18.24,1/6/2014 8:06
Bodrogi Loreto,Katerina’s Café,39.41,1/6/2014 13:59
Borrasca Isande,Brewed Awakenings,16.89,1/6/2014 12:00
Borrasca Isande,Ouzeri Elian,38.9,1/6/2014 13:22
Calixto Nils,Gelatogalore,22.64,1/6/2014 13:41
Calzas Axel,Bean There Done That,8.54,1/6/2014 12:00
Calzas Axel,Hippokampos,8.64,1/6/2014 13:57
Calzas Axel,Hippokampos,26.8,1/6/2014 20:36
Campo-Corrente Ada,Brewed Awakenings,4.35,1/6/2014 12:00
Campo-Corrente Ada,Hippokampos,20.61,1/6/2014 21:52
Cazar Gustav,Bean There Done That,5.24,1/6/2014 12:00
Cazar Gustav,Hippokampos,35.34,1/6/2014 20:20
Dedos Lidelse,Hallowed Grounds,10.07,1/6/2014 8:01
Dedos Lidelse,Katerina’s Café,13.59,1/6/2014 13:50
Dedos Lidelse,Katerina’s Café,12.32,1/6/2014 20:08
Ferro Inga,Brew've Been Served,8.88,1/6/2014 7:59
Ferro Inga,Gelatogalore,23.41,1/6/2014 14:00
Ferro Inga,Guy's Gyros,28.94,1/6/2014 20:24
Flecha Sven,Brew've Been Served,4.24,1/6/2014 7:37
Flecha Sven,Guy's Gyros,16.92,1/6/2014 13:30
Flecha Sven,Guy's Gyros,39.29,1/6/2014 19:18
Frente Birgitta,Hallowed Grounds,16.72,1/6/2014 7:36
Frente Birgitta,Katerina’s Café,32.64,1/6/2014 13:50
Frente Vira,Bean There Done That,4.27,1/6/2014 12:00
Frente Vira,Ouzeri Elian,20.4,1/6/2014 13:42
Fusil Stenig,Brew've Been Served,8.33,1/6/2014 7:35
Fusil Stenig,Ouzeri Elian,20.56,1/6/2014 13:37
Hafon Albina,Carlyle Chemical Inc.,3959.66,1/6/2014 11:57
Hafon Albina,Abila Airport,4540.08,1/6/2014 8:23
Hafon Albina,Abila Airport,777.06,1/6/2014 15:14
Hafon Albina,Kronos Pipe and Irrigation,242.21,1/6/2014 9:06
Hafon Albina,Maximum Iron and Steel,2859.51,1/6/2014 10:18
Herrero Kanon,Brew've Been Served,14.97,1/6/2014 8:16
Lagos Varja,Brew've Been Served,3.67,1/6/2014 7:55
Lagos Varja,Guy's Gyros,22.57,1/6/2014 20:13
Lagos Varja,U-Pump,59.51,1/6/2014 17:28
Mies Henk,Abila Airport,612.47,1/6/2014 15:39
Mies Minke,Albert's Fine Clothing,121.76,1/6/2014 21:03
Mies Minke,Brew've Been Served,15.58,1/6/2014 8:06
Mies Minke,Kalami Kafenion,22.31,1/6/2014 13:52
Morluniau Cecilia,Nationwide Refinery,761.64,1/6/2014 10:02
Morluniau Cecilia,Stewart and Sons Fabrication,2144.62,1/6/2014 11:33
Nubarron Adra,Coffee Cameleon,11.86,1/6/2014 7:54
Nubarron Adra,Frydos Autosupply n' More,197.32,1/6/2014 21:23
Onda Marin,Guy's Gyros,11.22,1/6/2014 13:39
Orilla Elsa,Jack's Magical Beans,18.59,1/6/2014 12:00
Orilla Kare,Gelatogalore,36.33,1/6/2014 13:52
Orilla Kare,Hallowed Grounds,10.66,1/6/2014 7:48
Orilla Kare,Katerina’s Café,26.1,1/6/2014 20:59
Osvaldo Hennie,Abila Zacharo,23.15,1/6/2014 13:54
Osvaldo Hennie,Katerina’s Café,17.92,1/6/2014 20:29
Ovan Bertrand,Coffee Cameleon,8.39,1/6/2014 7:49
Ovan Bertrand,Katerina’s Café,15.52,1/6/2014 20:33
Ovan Bertrand,Ouzeri Elian,30.87,1/6/2014 13:48
Resumir Felix,Brew've Been Served,5.66,1/6/2014 8:07
Resumir Felix,Guy's Gyros,11.94,1/6/2014 20:09
Resumir Felix,Katerina’s Café,19.65,1/6/2014 14:17
Tempestad Brand,Brew've Been Served,16.9,1/6/2014 7:43
Vann Edvard,Brew've Been Served,11.34,1/6/2014 7:28
Vann Edvard,Hippokampos,13.26,1/6/2014 13:23
Vann Isia,Shoppers' Delight,293.67,1/6/2014 20:49
Vasco-Pais Willem,Jack's Magical Beans,18.1,1/6/2014 12:00
Alcazar Lucas,Gelatogalore,21.52,1/7/2014 13:37
Azada Lars,Abila Zacharo,13.52,1/7/2014 13:20
Azada Lars,Hippokampos,11.56,1/7/2014 20:02
Balas Felix,Guy's Gyros,10.11,1/7/2014 13:46
Bergen Linnea,Gelatogalore,34.04,1/7/2014 13:33
Bergen Linnea,Katerina’s Café,19.49,1/7/2014 20:09
Borrasca Isande,Hippokampos,21.2,1/7/2014 21:03
Calixto Nils,Hallowed Grounds,14.05,1/7/2014 7:35
Calixto Nils,Katerina’s Café,22.27,1/7/2014 13:33
Calzas Axel,Hippokampos,20.17,1/7/2014 20:01
Calzas Axel,Kalami Kafenion,22.83,1/7/2014 13:45
Campo-Corrente Ada,Brewed Awakenings,6.72,1/7/2014 12:00
Campo-Corrente Ada,Gelatogalore,35.06,1/7/2014 13:20
Campo-Corrente Ada,Hippokampos,22.18,1/7/2014 21:51
Cazar Gustav,Bean There Done That,8.03,1/7/2014 12:00
Cocinaro Hideki,Hallowed Grounds,18.97,1/7/2014 7:48
Cocinaro Hideki,Kalami Kafenion,22.14,1/7/2014 13:46
Ferro Inga,Guy's Gyros,14.87,1/7/2014 19:45
Flecha Sven,Brew've Been Served,5.08,1/7/2014 7:27
Frente Birgitta,Guy's Gyros,12.57,1/7/2014 14:09
Frente Birgitta,Hallowed Grounds,9.92,1/7/2014 8:01
Frente Birgitta,Katerina’s Café,17.26,1/7/2014 20:33
Fusil Stenig,Guy's Gyros,11.31,1/7/2014 13:33
Hawelon Benito,Abila Airport,3840.37,1/7/2014 9:17
Hawelon Benito,Stewart and Sons Fabrication,1200.9,1/7/2014 10:05
Herrero Kanon,Brew've Been Served,11.92,1/7/2014 7:54
Lagos Varja,Guy's Gyros,31.23,1/7/2014 19:48
Mies Henk,Abila Airport,124.89,1/7/2014 12:29
Mies Henk,Abila Airport,3411.29,1/7/2014 15:41
Mies Minke,Brew've Been Served,3.0,1/7/2014 7:52
Mies Minke,Katerina’s Café,10.9,1/7/2014 14:07
Morlun Valeria,Nationwide Refinery,1562.66,1/7/2014 11:39
Morluniau Cecilia,Nationwide Refinery,1347.36,1/7/2014 10:11
Nant Irene,Kronos Pipe and Irrigation,3920.82,1/7/2014 14:19
Nant Irene,Maximum Iron and Steel,3207.31,1/7/2014 15:20
Nubarron Adra,Coffee Cameleon,11.55,1/7/2014 8:00
Nubarron Adra,Katerina’s Café,10.07,1/7/2014 20:11
Nubarron Adra,Ouzeri Elian,29.1,1/7/2014 13:29
Onda Marin,Hallowed Grounds,7.88,1/7/2014 7:47
Onda Marin,Katerina’s Café,18.35,1/7/2014 21:19
Orilla Elsa,Jack's Magical Beans,18.77,1/7/2014 12:00
Orilla Elsa,Ouzeri Elian,11.41,1/7/2014 20:15
Orilla Kare,Hallowed Grounds,9.61,1/7/2014 7:50
Orilla Kare,Katerina’s Café,32.83,1/7/2014 20:47
Osvaldo Hennie,Brew've Been Served,14.49,1/7/2014 8:02
Osvaldo Hennie,Gelatogalore,17.21,1/7/2014 13:39
Osvaldo Hennie,Katerina’s Café,33.29,1/7/2014 21:01
Ovan Bertrand,Coffee Cameleon,9.1,1/7/2014 7:46
Ovan Bertrand,Katerina’s Café,19.53,1/7/2014 20:32
Scozzese Dylan,Abila Scrapyard,2149.28,1/7/2014 14:16
Scozzese Dylan,Nationwide Refinery,889.58,1/7/2014 16:24
Strum Orhan,Guy's Gyros,29.57,1/7/2014 13:13
Strum Orhan,Jack's Magical Beans,19.61,1/7/2014 12:00
Tempestad Brand,Abila Zacharo,17.81,1/7/2014 13:41
Vann Edvard,Kalami Kafenion,18.06,1/7/2014 13:33
Vann Isia,Guy's Gyros,38.56,1/7/2014 13:20
Vasco-Pais Willem,Gelatogalore,8.98,1/7/2014 13:35
Vasco-Pais Willem,Hippokampos,37.88,1/7/2014 21:17
Alcazar Lucas,Hippokampos,39.8,1/8/2014 13:43
Azada Lars,Abila Zacharo,14.41,1/8/2014 13:34
Azada Lars,Bean There Done That,17.45,1/8/2014 12:00
Azada Lars,Hippokampos,10.52,1/8/2014 19:21
Balas Felix,Albert's Fine Clothing,136.01,1/8/2014 20:45
Balas Felix,Bean There Done That,12.07,1/8/2014 12:00
Balas Felix,Hippokampos,28.79,1/8/2014 13:48
Barranco Ingrid,Brewed Awakenings,11.73,1/8/2014 12:00
Barranco Ingrid,Hippokampos,26.31,1/8/2014 20:53
Baza Isak,Jack's Magical Beans,3.96,1/8/2014 12:00
Baza Isak,Katerina’s Café,8.53,1/8/2014 13:28
Baza Isak,Ouzeri Elian,29.85,1/8/2014 21:17
Bergen Linnea,Coffee Cameleon,6.59,1/8/2014 7:51
Bergen Linnea,Hippokampos,16.59,1/8/2014 13:26
Bodrogi Loreto,Frank's Fuel,65.34,1/8/2014 12:29
Bodrogi Loreto,Frydos Autosupply n' More,182.56,1/8/2014 20:17
Borrasca Isande,Brewed Awakenings,12.32,1/8/2014 12:00
Borrasca Isande,Chostus Hotel,107.51,1/8/2014 12:56
Borrasca Isande,Hippokampos,16.54,1/8/2014 19:28
Calixto Nils,Gelatogalore,35.29,1/8/2014 13:42
Calixto Nils,Katerina’s Café,36.6,1/8/2014 20:31
Campo-Corrente Ada,Hippokampos,26.55,1/8/2014 13:12
Campo-Corrente Ada,Hippokampos,15.64,1/8/2014 20:49
Cazar Gustav,Hippokampos,37.89,1/8/2014 13:31
Cocinaro Hideki,General Grocer,265.84,1/8/2014 21:00
Dedos Lidelse,Guy's Gyros,15.86,1/8/2014 13:51
Dedos Lidelse,Hallowed Grounds,8.15,1/8/2014 7:39
Dedos Lidelse,Katerina’s Café,27.87,1/8/2014 21:09
Ferro Inga,Brew've Been Served,17.13,1/8/2014 8:01
Flecha Sven,Brew've Been Served,3.42,1/8/2014 8:01
Flecha Sven,Guy's Gyros,30.12,1/8/2014 13:32
Flecha Sven,Guy's Gyros,28.81,1/8/2014 20:07
Frente Birgitta,Abila Zacharo,16.2,1/8/2014 13:53
Frente Birgitta,Hallowed Grounds,3.4,1/8/2014 7:43
Frente Vira,Hippokampos,32.66,1/8/2014 20:02
Fusil Stenig,Brew've Been Served,8.27,1/8/2014 7:48
Fusil Stenig,Kalami Kafenion,14.77,1/8/2014 13:52
Herrero Kanon,Brew've Been Served,7.26,1/8/2014 8:16
Mies Henk,Abila Airport,2723.18,1/8/2014 12:45
Mies Henk,Abila Airport,2769.12,1/8/2014 15:29
Mies Minke,Brew've Been Served,6.3,1/8/2014 8:18
Mies Minke,Guy's Gyros,10.34,1/8/2014 13:57
Mies Minke,Guy's Gyros,30.48,1/8/2014 19:48
Morlun Adan,Nationwide Refinery,4513.16,1/8/2014 9:54
Morlun Adan,Stewart and Sons Fabrication,1738.26,1/8/2014 11:28
Morlun Valeria,Carlyle Chemical Inc.,4901.88,1/8/2014 14:26
Morlun Valeria,Katerina’s Café,29.26,1/8/2014 13:19
Morluniau Cecilia,Nationwide Refinery,3674.32,1/8/2014 10:14
Morluniau Cecilia,Stewart and Sons Fabrication,1673.77,1/8/2014 11:58
Nant Irene,Carlyle Chemical Inc.,4983.52,1/8/2014 13:03
Nant Irene,Kronos Pipe and Irrigation,3615.61,1/8/2014 14:09
Nant Irene,Maximum Iron and Steel,3136.01,1/8/2014 15:18
Nubarron Adra,Coffee Cameleon,15.71,1/8/2014 7:59
Nubarron Adra,Katerina’s Café,26.45,1/8/2014 13:41
Nubarron Adra,Katerina’s Café,33.31,1/8/2014 20:27
Onda Marin,Katerina’s Café,31.59,1/8/2014 20:08
Orilla Elsa,Jack's Magical Beans,18.78,1/8/2014 12:00
Orilla Kare,Hallowed Grounds,3.11,1/8/2014 7:47
Orilla Kare,Kalami Kafenion,23.82,1/8/2014 13:45
Osvaldo Hennie,Gelatogalore,20.72,1/8/2014 13:28
